surface_id,url_surface,metric,component_file,resolver_file,db_tables,aggregation_method,manchester_value,reconciliation_status,bug_pattern
1,/share/client/[token] — Topline,Reach (sum) cell,n/a (not rendered today),lib/db/client-portal-server.ts:loadClientPortalData,event_daily_rollups + events + tier_channel_sales,n/a,n/a,N/A,—
2,/share/client/[token] — Manchester venue card,Reach,n/a (not rendered),—,—,n/a,n/a,N/A,—
2,/share/client/[token] — Manchester venue card,Impressions,n/a (not rendered),—,—,n/a,n/a,N/A,—
2,/share/client/[token] — Manchester venue card,Spend,components/share/client-portal-venue-table.tsx:VenueSection,lib/db/client-dashboard-aggregations.ts:aggregateVenueCampaignPerformance,event_daily_rollups.{ad_spend_allocated,ad_spend_presale,ad_spend},per-event SUM with allocator-correct fallback,reconciles in steady state,OK,—
2,/share/client/[token] — Manchester venue card,Tickets,components/share/client-portal-venue-table.tsx:VenueSection,lib/dashboard/tier-channel-rollups.ts:resolveDisplayTicketCount,tier_channel_sales + ticket_sales_snapshots + events.tickets_sold,Math.max across sources,reconciles,OK,—
2,/share/client/[token] — Manchester venue card,Revenue,components/share/client-portal-venue-table.tsx:VenueSection,lib/dashboard/tier-channel-rollups.ts:resolveDisplayTicketRevenue,event_daily_rollups.revenue + tier_channel_sales,Max across sources / SUM,reconciles,OK,—
3,/share/client/[token] — Brighton venue card,All metrics,same as #2,same as #2,same as #2,same as #2,reconciles,OK,—
4,/share/venue/[token]?tab=performance — Topline Stats Grid,Reach (lifetime swap or sum-of-daily),components/share/venue-stats-grid.tsx:VenueStatsGrid,lib/dashboard/venue-stats-grid-aggregator.ts + lib/db/event-code-lifetime-meta-cache.ts,event_daily_rollups.meta_reach (deduped) + event_code_lifetime_meta_cache.meta_reach,sibling-dedup → SUM across days OR cache lookup (PR #415),~781346 (cache hit) / 1771635 (cache miss),CONDITIONAL,B
4,/share/venue/[token]?tab=performance — Topline Stats Grid,Impressions,components/share/venue-stats-grid.tsx:VenueStatsGrid,lib/dashboard/venue-stats-grid-aggregator.ts,event_daily_rollups.meta_impressions (deduped),sibling-dedup → SUM across days,reconciles,OK,—
4,/share/venue/[token]?tab=performance — Topline Stats Grid,Spend / Clicks / Video / Engagement,components/share/venue-stats-grid.tsx:VenueStatsGrid,lib/dashboard/venue-stats-grid-aggregator.ts,event_daily_rollups columns (allocator-aware spend; deduped others),sibling-dedup + SUM across days,reconciles,OK,—
5,/share/venue/[token]?tab=performance — Daily Tracker rows,Per-day Spend / Clicks / Tickets / Revenue,components/dashboard/events/daily-tracker.tsx via venue-daily-report-block.tsx,lib/dashboard/venue-rollup-dedup.ts + mergeVenueTimeline,event_daily_rollups + daily_tracking_entries + tier_channel_sales_daily_history,per-day delta values (allocator-aware spend; deduped clicks/regs; tier-channel-derived ticket deltas),reconciles,OK,—
5,/share/venue/[token]?tab=performance — Daily Tracker rows,Reach / Impressions,n/a (not in timeline),—,—,n/a,not displayed,N/A,—
6,/share/venue/[token]?tab=performance — Daily Trend chart,Cumulative tickets / spend / CPT,components/dashboard/events/event-trend-chart.tsx:LegacyTrendChart,components/share/venue-daily-report-block.tsx:VenueTrendChartSection,event_daily_rollups + tier_channel_sales_daily_history,per-day spend + cumulative tickets from daily-history envelope,reconciles,OK,—
6,/share/venue/[token]?tab=performance — Daily Trend chart,Reach / Impressions,n/a (only LegacyTrendChart rendered; AwarenessTrendChart only on brand_campaign kind),—,—,n/a,not displayed,N/A,—
7,/share/venue/[token]?tab=insights — Creative Insights cards,Per-tag Spend / Reach / Impressions / LPV / Purchases,components/dashboard/clients/creative-patterns-panel.tsx,lib/reporting/creative-patterns-cross-event.ts:buildClientCreativePatterns + addGroup,active_creatives_snapshots.payload + creative_tag_assignments + creative_tags,SUM per (event_id × snapshot × concept group) into TileAccumulator (NO sibling dedup),~4× ground truth for multi-fixture venues,FAIL,A
